author_type,url,floor,floors_count,rooms_count,total_meters,price,underground
real_estate_agent,https://www.cian.ru/sale/flat/308629847/,26,41,2,46.0,20950000.0,Шелепиха
real_estate_agent,https://www.cian.ru/sale/flat/308789447/,11,12,1,33.5,8000000.0,Улица Академика Янгеля
real_estate_agent,https://www.cian.ru/sale/flat/308553708/,9,12,2,88.0,59350000.0,Маяковская
real_estate_agent,https://spb.cian.ru/sale/flat/305602913/,4,7,1,31.1,6000000.0,Академическая
real_estate_agent,https://www.cian.ru/sale/flat/305679467/,4,20,2,64.29,24166611.0,Тульская
real_estate_agent,https://spb.cian.ru/sale/flat/307668200/,1,8,2,48.3,8650000.0,Проспект Ветеранов
real_estate_agent,https://www.cian.ru/sale/flat/308553460/,9,12,2,99.0,96750000.0,Маяковская
real_estate_agent,https://www.cian.ru/sale/flat/306451958/,3,12,2,37.0,9500000.0,Селигерская
developer,https://sochi.cian.ru/sale/flat/302445049/,2,10,2,33.0,31491900.0,
real_estate_agent,https://www.cian.ru/sale/flat/306566143/,6,7,2,96.0,260000000.0,Парк Культуры
real_estate_agent,https://spb.cian.ru/sale/flat/304516716/,4,4,2,55.3,6990000.0,Проспект Ветеранов
real_estate_agent,https://www.cian.ru/sale/flat/308343895/,8,29,2,69.1,31095000.0,Шаболовская
realtor,https://www.cian.ru/sale/flat/304113525/,17,25,1,36.8,9900000.0,Чертановская
developer,https://sochi.cian.ru/sale/flat/302444728/,8,10,1,22.2,26140500.0,
real_estate_agent,https://www.cian.ru/sale/flat/309003049/,4,11,2,67.31,72000000.0,Парк Победы
real_estate_agent,https://lyubertsy.cian.ru/sale/flat/308678545/,4,4,1,31.9,4000000.0,
developer,https://krasnodar.cian.ru/sale/flat/307540476/,2,16,2,64.3,6751500.0,
real_estate_agent,https://www.cian.ru/sale/flat/308907057/,5,21,2,64.76,68500000.0,Улица 1905 года
developer,https://www.cian.ru/sale/flat/286258299/,5,9,2,104.2,150958800.0,Маяковская
